index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
79,-37.0097,12.3318,17.5701,14.0367,11.9209,11.3977,6.4318,-0.7297,-13.6300,-10.1460,-8.1272,-8.3936,-8.7794,-7.9710,-7.2568,-6.7828,-6.4024,-5.7071,-5.2405,-4.9290,-4.6038,-4.2960,-3.9254,-3.6509,-3.4474,-3.1302,-2.8103,-2.7182,-2.6777,-2.6886,-2.7291,-2.7672,-2.7819,-2.7640,-2.6945,-2.5238,-2.3557
80,-36.2727,5.9421,19.7099,12.3878,8.1197,4.1597,5.9692,3.5936,-8.1021,-9.9251,-5.0387,-3.3683,-2.6978,-2.5323,-2.6204,-2.7436,-2.8451,-3.0830,-3.5496,-4.0738,-4.4325,-4.5622,-4.4052,-4.2502,-4.0682,-3.6739,-3.1869,-2.9360,-2.7065,-2.5266,-2.4055,-2.3602,-2.3674,-2.3615,-2.3137,-2.1756,-2.0148
81,-27.2207,-13.5098,12.0208,18.8921,12.0605,3.3841,5.2853,6.9043,0.0585,-6.0743,-2.8402,-0.7439,-0.0487,0.1067,-0.1018,-0.4442,-0.8483,-1.6462,-2.3301,-2.9111,-3.3233,-3.5492,-3.6416,-3.7517,-3.7585,-3.5365,-3.2069,-3.0399,-2.8787,-2.7387,-2.6367,-2.5916,-2.5911,-2.5710,-2.5102,-2.3735,-2.2019
82,-22.0415,-32.3510,-8.2239,13.1408,11.3433,1.6526,0.6571,7.5587,4.4744,-1.8086,-3.2580,-1.2701,0.3234,1.1643,1.3545,1.2472,1.0614,0.5219,-0.2028,-0.9465,-1.5459,-1.9717,-2.3287,-2.6322,-2.9160,-3.1547,-3.2816,-3.2932,-3.2671,-3.2034,-3.1048,-2.9880,-2.8800,-2.7452,-2.5905,-2.4245,-2.2499
83,-20.3852,-44.1181,-18.7023,3.6508,3.2344,-6.9698,-7.0965,6.1978,7.3763,1.7262,-1.4797,-0.4099,0.6127,1.0811,1.1268,0.9667,0.7574,0.2797,-0.3786,-1.1158,-1.7640,-2.2629,-2.5408,-2.7944,-3.0846,-3.2987,-3.3679,-3.3451,-3.2888,-3.2029,-3.1061,-3.0189,-2.9286,-2.7972,-2.6269,-2.4163,-2.2196
84,-64.3012,-47.7739,-21.6415,-0.4395,-2.9673,-15.0577,-12.2997,2.6318,7.6076,2.4184,-1.6786,-1.1169,0.4873,1.4134,1.7383,1.8409,1.8792,1.8139,1.2612,0.2802,-0.8754,-1.9539,-2.6663,-3.0835,-3.3685,-3.6147,-3.7845,-3.8279,-3.8433,-3.8387,-3.8242,-3.7903,-3.7086,-3.5531,-3.3293,-3.0628,-2.8073
85,-25.8898,-38.3274,-16.9140,-1.3070,-6.2995,-20.5236,-16.3627,-1.3368,7.9230,1.8112,-4.2622,-4.1457,-2.4339,-0.6269,0.3486,0.7978,0.9733,0.8957,0.2941,-0.6305,-1.5432,-2.2324,-2.6883,-2.9652,-3.1279,-3.2556,-3.3021,-3.2728,-3.2162,-3.1444,-3.0698,-2.9909,-2.9007,-2.7888,-2.6512,-2.4647,-2.2586
86,1.9806,-14.9448,-13.4240,-0.7444,-8.8831,-25.5431,-20.2318,-6.4607,6.9145,3.1459,-1.0130,-0.6428,-0.0498,0.2062,0.1101,-0.0807,-0.2017,-0.4712,-1.0615,-1.7625,-2.2651,-2.6932,-2.9300,-3.0894,-3.2396,-3.4038,-3.5004,-3.4979,-3.4652,-3.4096,-3.3445,-3.2722,-3.1828,-3.0665,-2.9180,-2.7092,-2.4858
87,14.1793,9.2688,4.7389,6.0490,-0.5857,-19.9893,-24.9908,-15.2312,1.2007,3.0631,3.1260,4.8120,4.1525,2.6884,1.5404,0.8393,0.4264,-0.4136,-1.4730,-2.3583,-3.0270,-3.5306,-3.8269,-4.0924,-4.3555,-4.5158,-4.4601,-4.3420,-4.1936,-4.0429,-3.9108,-3.7958,-3.6833,-3.5584,-3.3974,-3.1641,-2.8973
88,-0.3069,13.0298,13.8214,13.4196,10.7173,-1.9307,-29.1553,-19.0552,-7.8594,-0.1496,3.1937,4.4790,3.8374,2.8811,2.1659,1.7706,1.5674,0.9371,-0.2287,-1.3529,-2.2505,-2.8920,-3.2407,-3.4235,-3.5447,-3.6307,-3.6933,-3.7027,-3.6839,-3.6387,-3.5812,-3.5154,-3.4283,-3.3215,-3.1821,-2.9709,-2.7315
89,-22.2236,-6.5801,4.3375,11.3471,12.4935,7.7802,-24.1831,-20.7604,-11.2997,-4.9669,-1.3397,-0.7221,-0.6052,-0.4516,-0.2298,0.0800,0.3785,0.7285,0.4219,-0.5056,-1.5313,-2.3977,-2.9747,-3.3137,-3.4552,-3.4177,-3.3312,-3.2996,-3.2754,-3.2682,-3.2803,-3.2970,-3.2947,-3.2640,-3.1670,-2.9491,-2.7166
90,-53.3185,-19.6396,-3.2060,9.4079,12.7428,11.2698,-5.6243,-21.2591,-13.8748,-7.8433,-5.0147,-5.5485,-6.6991,-6.9038,-6.3211,-5.6800,-5.1902,-4.6034,-4.3516,-4.2370,-4.0908,-4.0959,-4.0405,-3.8742,-3.6162,-3.2345,-2.9158,-2.8255,-2.7935,-2.8328,-2.9262,-3.0310,-3.0963,-3.1010,-3.0410,-2.8553,-2.6452
91,-35.3805,-30.1710,-7.9999,5.5528,9.1885,10.0722,4.4728,-9.6847,-14.9862,-7.9491,-3.3137,-2.7057,-3.3514,-3.6140,-3.5540,-3.3986,-3.2478,-3.1324,-3.2794,-3.5378,-3.7180,-3.7722,-3.5825,-3.4359,-3.2996,-3.1110,-2.9310,-2.8661,-2.8248,-2.8255,-2.8702,-2.9398,-2.9902,-2.9893,-2.9330,-2.7605,-2.5721
92,-1.6978,-26.2025,-14.3048,3.4656,6.8625,7.3970,5.9027,0.2249,-12.9504,-8.5391,-4.2915,-3.2671,-3.5563,-3.3994,-2.8423,-2.3104,-1.9795,-1.6424,-1.6152,-1.9964,-2.5253,-3.0106,-3.3046,-3.5004,-3.5988,-3.4898,-3.2953,-3.1957,-3.1026,-3.0281,-2.9817,-2.9620,-2.9490,-2.8988,-2.8001,-2.6234,-2.4412
93,9.4675,-3.4270,-13.8356,-3.5902,6.8373,8.8748,7.4020,6.2857,-3.7578,-6.6254,-2.0844,1.3119,3.3764,4.0015,3.7626,3.2123,2.6995,1.8667,0.9528,0.0534,-0.6774,-1.3768,-1.9637,-2.4663,-2.9023,-3.1599,-3.2314,-3.1950,-3.1137,-3.0038,-2.8900,-2.7991,-2.7317,-2.6441,-2.5285,-2.3558,-2.1756
94,5.9797,-7.1752,-18.0495,-17.9999,-6.5475,3.5605,6.4565,8.2700,3.7060,-1.3911,-2.6750,1.5062,4.6395,5.7298,5.7700,5.4454,5.0655,4.1745,2.9170,1.5292,0.2289,-0.9093,-1.7697,-2.3682,-2.8308,-3.1958,-3.4130,-3.4434,-3.4194,-3.3450,-3.2425,-3.1283,-3.0144,-2.8904,-2.7495,-2.5792,-2.4089
95,-5.5958,-14.1372,-25.7837,-30.2275,-22.0638,-13.4805,0.2208,6.4720,5.2507,0.5005,-1.2912,0.6360,1.6599,1.7823,1.5695,1.3101,1.0263,0.3609,-0.6558,-1.6256,-2.3507,-2.7836,-2.9846,-3.2343,-3.4939,-3.7110,-3.8465,-3.8470,-3.8012,-3.7153,-3.6098,-3.5007,-3.3783,-3.2230,-3.0381,-2.8161,-2.5989
96,-26.6883,-20.9421,-32.7113,-41.7109,-31.8217,-24.4995,-9.7379,4.0604,5.6374,-0.5331,0.2379,2.9736,4.2483,4.6957,4.7042,4.5373,4.3379,3.6174,2.2343,0.7193,-0.5509,-1.5902,-2.2539,-2.6363,-2.8872,-3.1089,-3.2888,-3.3443,-3.3739,-3.3803,-3.3756,-3.3700,-3.3442,-3.2503,-3.0688,-2.8356,-2.6110
97,2.5036,-17.1443,-33.5745,-43.4960,-35.0927,-28.0639,-14.2342,1.0457,5.5597,-0.6612,-2.6207,-1.1092,0.5306,1.7714,2.1172,2.1248,2.0713,1.7745,1.1254,0.0666,-1.0415,-1.8906,-2.3058,-2.5415,-2.7034,-2.8580,-2.9974,-3.0406,-3.0648,-3.0822,-3.1021,-3.1204,-3.1114,-3.0489,-2.9131,-2.7278,-2.5354
98,12.5590,18.2993,2.4631,-31.4547,-37.3014,-31.8409,-17.7448,-2.6488,4.9150,-1.3646,-0.6834,2.9610,4.1401,3.9799,3.3948,2.9531,2.6525,1.8496,0.7087,-0.3085,-1.2710,-2.0512,-2.4937,-2.7824,-3.0070,-3.2245,-3.3827,-3.4004,-3.3786,-3.3268,-3.2639,-3.1962,-3.1157,-3.0029,-2.8477,-2.6575,-2.4524
